id_feature;id_product;id_feature_value;
"6";"928";"22";
"6";"929";"22";
"6";"930";"20";
"6";"931";"20";
"6";"932";"20";
"6";"933";"20";
"6";"934";"20";
"6";"935";"20";
"6";"936";"20";
"6";"937";"20";
"6";"938";"20";
"6";"939";"20";
"6";"940";"22";
"6";"941";"20";
"6";"942";"22";
"6";"943";"20";
"6";"944";"30";
"6";"945";"22";
"6";"946";"20";
"6";"947";"20";
"6";"948";"20";
"6";"949";"20";
"6";"950";"20";
"6";"951";"20";
"6";"952";"22";
"6";"953";"30";
"6";"954";"20";
"6";"955";"22";
"6";"956";"22";
"6";"957";"20";
"6";"958";"20";
"6";"959";"20";
"6";"960";"20";
"6";"961";"20";
"6";"962";"20";
"6";"963";"20";
"6";"964";"20";
"6";"965";"20";
"6";"966";"20";
"6";"967";"22";
"6";"968";"20";
"6";"969";"20";
"6";"970";"22";
"6";"971";"22";
"6";"972";"22";
"6";"973";"22";
"6";"974";"20";
"6";"975";"20";
"6";"976";"20";
"6";"977";"20";
"6";"978";"20";
"6";"979";"20";
"6";"980";"20";
"6";"981";"22";
"6";"982";"22";
"6";"983";"20";
"6";"984";"20";
"6";"985";"22";
"6";"986";"20";
"6";"987";"20";
"6";"988";"30";
"6";"989";"22";
"6";"990";"20";
"6";"991";"20";
"6";"992";"20";
"6";"993";"30";
"6";"994";"30";
"6";"995";"30";
"6";"996";"20";
"6";"997";"30";
"6";"998";"22";
"6";"999";"30";
"6";"1000";"22";
"6";"1001";"20";
"6";"1002";"20";
"6";"1003";"20";
"6";"1004";"22";
"6";"1005";"19114";
"6";"1006";"22";
"6";"1007";"22";
"6";"1008";"20";
"6";"1009";"20";
"6";"1010";"20";
"6";"1011";"20";
"6";"1012";"22";
"6";"1013";"20";
"6";"1014";"20";
"6";"1015";"22";
"6";"1016";"20";
"6";"1017";"20";
"6";"1018";"20";
"6";"1019";"20";
"6";"1020";"20";
"6";"1021";"20";
"6";"1022";"20";
"6";"1023";"22";
"6";"1024";"20";
"6";"1025";"20";
"6";"1026";"22";
"6";"1027";"20";
"6";"1028";"30";
"6";"1029";"20";
"6";"1030";"20";
"6";"1031";"22";
"6";"1032";"20";
"6";"1033";"30";
"6";"1034";"20";
"6";"1035";"20";
"6";"1036";"20";
"6";"1037";"20";
"6";"1038";"20";
"6";"1039";"22";
"6";"1040";"20";
"6";"1041";"30";
"6";"1042";"30";
"6";"1043";"20";
"6";"1044";"20";
"6";"1045";"20";
"6";"1046";"20";
"6";"1047";"22";
"6";"1048";"22";
"6";"1049";"22";
"6";"1050";"20";
"6";"1051";"20";
"6";"1052";"20";
"6";"1053";"20";
"6";"1054";"20";
"6";"1055";"20";
"6";"1056";"22";
"6";"1057";"20";
"6";"1058";"22";
"6";"1059";"22";
"6";"1060";"20";
"6";"1061";"20";
"6";"1062";"20";
"6";"1063";"20";
"6";"1064";"20";
"6";"1065";"20";
"6";"1066";"20";
"6";"1067";"20";
"6";"1068";"20";
"6";"1069";"20";
"6";"1070";"20";
"6";"1071";"22";
"6";"1072";"20";
"6";"1073";"30";
"6";"1074";"22";
"6";"1075";"20";
"6";"1076";"22";
"6";"1077";"22";
"6";"1078";"20";
"6";"1079";"20";
"6";"1080";"20";
"6";"1081";"22";
"6";"1082";"22";
"6";"1083";"20";
"6";"1084";"20";
"6";"1085";"11626";
"6";"1086";"20";
"6";"1087";"20";
"6";"1088";"20";
"6";"1089";"20";
"6";"1090";"20";
"6";"1091";"20";
"6";"1092";"20";
"6";"1093";"20";
"6";"1094";"20";
"6";"1095";"20";
"6";"1096";"20";
"6";"1097";"20";
"6";"2137";"20";
"6";"1099";"20";
"6";"1100";"20";
"6";"1101";"22";
"6";"1102";"20";
"6";"1103";"22";
"6";"1104";"22";
"6";"1105";"20";
"6";"1106";"20";
"6";"1107";"22";
"6";"1108";"19114";
"6";"1109";"30";
"6";"1110";"20";
"6";"1111";"22";
"6";"1112";"20";
"6";"1113";"20";
"6";"1114";"22";
"6";"1115";"30";
"6";"1116";"22";
"6";"1117";"22";
"6";"1118";"20";
"6";"1119";"20";
"6";"1120";"30";
"6";"1121";"20";
"6";"1122";"20";
"6";"1123";"22";
"6";"1124";"22";
"6";"1125";"22";
"6";"1126";"22";
"6";"1127";"22";
"6";"1128";"22";
"6";"1129";"30";
"6";"1130";"22";
"6";"1131";"22";
"6";"1132";"20";
"6";"1133";"30";
"6";"1134";"20";
"6";"1135";"20";
"6";"1136";"22";
"6";"1137";"20";
"6";"1138";"20";
"6";"1139";"20";
"6";"1140";"20";
"6";"1141";"22";
"6";"1142";"20";
"6";"1143";"20";
"6";"1144";"20";
"6";"1145";"22";
"6";"1146";"20";
"6";"1147";"22";
"6";"1148";"22";
"6";"1149";"22";
"6";"1150";"22";
"6";"1151";"20";
"6";"1152";"30";
"6";"1153";"20";
"6";"1154";"20";
"6";"1155";"20";
"6";"1156";"20";
"6";"1157";"20";
"6";"1158";"20";
"6";"1159";"30";
"6";"1160";"22";
"6";"1161";"20";
"6";"1162";"20";
"6";"1163";"20";
"6";"1164";"20";
"6";"1165";"20";
"6";"1166";"20";
"6";"1167";"20";
"6";"1168";"20";
"6";"1169";"20";
"6";"1170";"20";
"6";"1171";"20";
"6";"1172";"22";
"6";"1173";"20";
"6";"1174";"20";
"6";"1175";"20";
"6";"1176";"20";
"6";"1177";"20";
"6";"1178";"20";
"6";"1179";"22";
"6";"1180";"20";
"6";"1181";"20";
"6";"1182";"22";
"6";"1183";"20";
"6";"1184";"20";
"6";"1185";"30";
"6";"1186";"20";
"6";"1187";"20";
"6";"1188";"20";
"6";"1189";"22";
"6";"1190";"20";
"6";"1191";"20";
"6";"1192";"20";
"6";"1193";"20";
"6";"1194";"22";
"6";"1195";"22";
"6";"1196";"20";
"6";"1197";"20";
"6";"1198";"20";
"6";"1199";"22";
"6";"1200";"20";
"6";"1201";"20";
"6";"1202";"22";
"6";"1203";"20";
"6";"1204";"20";
"6";"1205";"20";
"6";"1206";"20";
"6";"1207";"22";
"6";"1208";"20";
"6";"1209";"20";
"6";"1210";"20";
"6";"1211";"30";
"6";"1212";"22";
"6";"1213";"20";
"6";"1214";"20";
"6";"1215";"20";
"6";"1216";"20";
"6";"1217";"22";
"6";"1218";"20";
"6";"1219";"20";
"6";"1220";"20";
"6";"1221";"20";
"6";"1222";"22";
"6";"1223";"22";
"6";"1224";"22";
"6";"1225";"22";
"6";"1226";"22";
"6";"1227";"20";
"6";"1228";"11627";
"6";"1229";"22";
"6";"1230";"20";
"6";"1231";"22";
"6";"1232";"22";
"6";"1233";"20";
"6";"1234";"22";
"6";"1235";"30";
"6";"1236";"20";
"6";"1237";"22";
"6";"1238";"22";
"6";"1239";"20";
"6";"1240";"30";
"6";"1241";"20";
"6";"1242";"20";
"6";"1243";"30";
"6";"1244";"20";
"6";"1245";"20";
"6";"1246";"20";
"6";"1247";"20";
"6";"1248";"22";
"6";"1249";"30";
"6";"1250";"20";
"6";"1251";"22";
"6";"1252";"22";
"6";"1253";"22";
"6";"1254";"20";
"6";"1255";"20";
"6";"1256";"20";
"6";"1257";"22";
"6";"1258";"20";
"6";"1259";"22";
"6";"1260";"22";
"6";"1261";"22";
"6";"1262";"22";
"6";"1263";"22";
"6";"1264";"22";
"6";"1265";"22";
"6";"1266";"22";
"6";"1267";"22";
"6";"1268";"22";
"6";"1269";"22";
"6";"1270";"22";
"6";"1271";"20";
"6";"1272";"22";
"6";"1273";"22";
"6";"1274";"22";
"6";"1275";"22";
"6";"1276";"22";
"6";"1277";"22";
"6";"1278";"20";
"6";"1279";"20";
"6";"1280";"20";
"6";"1281";"20";
"6";"1282";"20";
"6";"1283";"22";
"6";"1284";"22";
"6";"1285";"22";
"6";"1286";"20";
"6";"1287";"20";
"6";"1288";"22";
"6";"1289";"22";
"6";"1290";"22";
"6";"1291";"20";
"6";"1292";"20";
"6";"1293";"20";
"6";"1294";"20";
"6";"1295";"20";
"6";"1296";"20";
"6";"1297";"20";
"6";"1298";"20";
"6";"1299";"20";
"6";"1300";"20";
"6";"1301";"20";
"6";"1302";"20";
"6";"1303";"20";
"6";"1304";"20";
"6";"1305";"20";
"6";"1306";"20";
"6";"1307";"20";
"6";"1308";"20";
"6";"1309";"20";
"6";"1310";"20";
"6";"1311";"20";
"6";"1312";"22";
"6";"1313";"22";
"6";"1314";"20";
"6";"1315";"20";
"6";"1316";"20";
"6";"1317";"20";
"6";"1318";"20";
"6";"1319";"20";
"6";"1320";"20";
"6";"1321";"20";
"6";"1322";"20";
"6";"1323";"20";
"6";"1324";"22";
"6";"1325";"20";
"6";"1326";"20";
"6";"1327";"20";
"6";"1328";"20";
"6";"1329";"20";
"6";"1330";"20";
"6";"1331";"20";
"6";"1332";"20";
"6";"1333";"30";
"6";"1334";"30";
"6";"1335";"30";
"6";"1336";"20";
"6";"1337";"20";
"6";"1338";"20";
"6";"1339";"20";
"6";"1340";"22";
"6";"1341";"20";
"6";"1342";"30";
"6";"1343";"30";
"6";"1344";"22";
"6";"1345";"22";
"6";"1346";"20";
"6";"1347";"20";
"6";"1348";"20";
"6";"1349";"20";
"6";"1350";"20";
"6";"1351";"20";
"6";"1352";"22";
"6";"1353";"22";
"6";"1354";"20";
"6";"1355";"30";
"6";"1356";"22";
"6";"1357";"20";
"6";"1358";"20";
"6";"1359";"22";
"6";"1360";"20";
"6";"1361";"20";
"6";"1362";"22";
"6";"1363";"22";
"6";"1364";"22";
"6";"1365";"20";
"6";"1366";"22";
"6";"1367";"20";
"6";"1368";"20";
"6";"1369";"20";
"6";"1370";"22";
"6";"1371";"22";
"6";"1372";"20";
"6";"1373";"20";
"6";"1374";"20";
"6";"1375";"20";
"6";"1376";"20";
"6";"1377";"20";
"6";"1378";"20";
"6";"1379";"20";
"6";"1380";"20";
"6";"1381";"20";
"6";"1382";"20";
"6";"1383";"20";
"6";"1384";"22";
"6";"1385";"20";
"6";"1386";"22";
"6";"1387";"20";
"6";"1388";"20";
"6";"1389";"20";
"6";"1390";"22";
"6";"1391";"22";
"6";"1392";"20";
"6";"1393";"20";
"6";"1394";"22";
"6";"1395";"20";
"6";"1396";"20";
"6";"1397";"20";
"6";"1398";"20";
"6";"1399";"20";
"6";"1400";"20";
"6";"1401";"20";
"6";"1402";"20";
"6";"1403";"20";
"6";"1404";"20";
"6";"1405";"20";
"6";"1406";"20";
"6";"1407";"20";
"6";"1408";"22";
"6";"1409";"22";
"6";"1410";"20";
"6";"1411";"20";
"6";"1412";"22";
"6";"1413";"20";
"6";"1414";"22";
"6";"1415";"30";
"6";"1416";"20";
"6";"1417";"20";
"6";"1418";"22";
"6";"1419";"20";
"6";"1420";"30";
"6";"1421";"20";
"6";"1422";"20";
"6";"1423";"20";
"6";"1424";"20";
"6";"1425";"20";
"6";"1426";"20";
"6";"1427";"20";
"6";"1428";"22";
"6";"1429";"20";
"6";"1430";"20";
"6";"1431";"20";
"6";"1432";"22";
"6";"1433";"20";
"6";"1434";"20";
"6";"1435";"20";
"6";"1436";"22";
"6";"1437";"20";
"6";"1438";"20";
"6";"1439";"20";
"6";"1440";"20";
"6";"1441";"20";
"6";"1442";"20";
"6";"1443";"22";
